["tfa","tof","tbb","hote","tcoa","tdoy","sha"]	"investigator"					16	16	["Leo Anderson","Ursula Downs","Finn Edwards","Father Mateo","Calvin Wright","Mitch Brown","Bought in Blood","Jake Williams","Call of the Unknown","Smuggled Goods","Finn's Trusty .38","Caught Red-Handed","The Codex of Ages","Serpents of Yig","Until the End of Time","Voice of the Messenger"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]	"basicweakness"					2	2	["Dark Pact","Doomed"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]	"bonded"					2	6	["Soothing Melody","Blood-Rite"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]	"investigator"					19	19	["Carolyn Fern","Joe Diamond","Preston Fairmont","Diana Stanley","Rita Young","Marie Lambeau","Hypnotic Therapy","Rational Thought","Detective's Colt 1911s","Unsolved Case","Family Inheritance","Lodge \"Debts\"","Twilight Blade","Dark Insight","Terrible Secret","\"I'm done runnin'!\"","Hoods","Mystifying Song","Baron Samedi"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]	"basicweakness"					2	4	["The 13th Vision","The Tower • XVI"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]	"bonded"					13	20	["Dream-Gate","Dream-Gate","Bloodlust","Pendant of the Queen","Guardian of the Crystallizer","The Stars Are Right","Hope","Zeal","Augur","Essence of the Dream","Wish Eater","Unbound Beast","Dream Parasite"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]	"investigator"					16	19	["Tommy Muldoon","Mandy Thompson","Tony Morgan","Luke Robinson","Patrice Hathaway","Becky","Rookie Mistake","Occult Evidence","Shocking Discovery","Bounty Contracts","Tony's .38 Long Colt","Tony's Quarry","Gate Box","Detached from Reality","Patrice's Violin","Watcher from Another Dimension"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]	"basicweakness"					4	4	["Self-Centered","Kleptomania","Narcolepsy","Your Worst Nightmare"]
["tic","itd","def","hhg","lif","lod","itm"]	"investigator"					16	16	["Sister Mary","Amanda Sharpe","Trish Scarborough","Dexter Drake","Silas Marsh","Guardian Angel","Crisis of Faith","Obscure Studies","Whispers from the Deep","In the Shadows","Shadow Agents","Showmanship","Occult Scraps","Sea Change Harpoon","Silas's Net","Siren Call"]
["tic","itd","def","hhg","lif","lod","itm"]	"basicweakness"					3	5	["Accursed Follower","Dread Curse","Day of Reckoning"]
["eoep"]	"investigator"					18	21	["Daniela Reyes","Mechanic's Wrench","Mob Goons","Norman Withers","Livre d'Eibon","The Harbinger","Monterey Jack","Trusty Bullwhip","Buried Secrets","Lily Chen","Discipline","Discipline","Discipline","Discipline","Burden of Destiny","Bob Jenkins","Shrewd Dealings","Greed"]
["eoep"]	"basicweakness"					4	4	["Arm Injury","Leg Injury","Panic","Stupor"]
["rtdwl"]	"basicweakness"					1	2	["Through the Gates"]
["rtptc"]	"basicweakness"					3	3	["Unspeakable Oath (Bloodthirst)","Unspeakable Oath (Curiosity)","Unspeakable Oath (Cowardice)"]
["rttfa"]	"basicweakness"					2	2	["Dendromorphosis","Offer You Cannot Refuse"]
["rttcu"]	"basicweakness"					2	3	["Damned","The Devil • XV"]
["nat"]	"investigator"					3	3	["Nathaniel Cho","Randall Cho","Tommy Malloy"]
["nat"]	"basicweakness"					1	1	["Self-Destructive"]
["har"]	"investigator"					3	3	["Harvey Walters","Vault of Knowledge","Thrice-Damned Curiosity"]
["har"]	"basicweakness"					1	1	["Obsessive"]
["win"]	"investigator"					3	3	["Winifred Habbamock","Anything You Can Do, Better","Arrogance"]
["win"]	"basicweakness"					1	1	["Reckless"]
["jac"]	"investigator"					3	3	["Jacqueline Fine","Arbiter of Fates","Dark Future"]
["jac"]	"basicweakness"					1	1	["Nihilism"]
["ste"]	"investigator"					3	5	["Stella Clark","Neither Rain nor Snow","Called by the Mists"]
["ste"]	"basicweakness"					1	1	["Atychiphobia"]
["core"]					[86,87,88]	3	12	["Knife","Flashlight","Emergency Cache"]
["core"]					[89,90,91,92,93,94,95]	7	14	["Guts","Perception","Overpower","Manual Dexterity","Unexpected Courage","Bulletproof Vest","Elder Sign Amulet"]
["rcore"]					[86,87,88]	3	30	["Knife","Flashlight","Emergency Cache"]
["rcore"]					[89,90,91,92,93,94,95,193,194,195]	10	30	["Guts","Perception","Overpower","Manual Dexterity","Unexpected Courage","Bulletproof Vest","Elder Sign Amulet","Emergency Cache","Charisma","Relic Hunter"]
["eoep"]		[{"c1":"guardian","c2":"*"}]				14	28	["Medical Student","On the Trail","On the Trail","Michael Leigh","Snipe","Old Shotgun","Quickdraw Holster","Brand of Cthugha","Nkosi Mabati","Brand of Cthugha","Cyclopean Hammer","Sledgehammer","Protective Gear","Sledgehammer"]
["eoep"]		[{"c1":"seeker","c2":"*"}]				11	22	["Pocket Telescope","Eon Chart","Gené Beauregard","Eon Chart","Divination","Protecting the Anirniq","Divination","Professor William Webb","Ice Pick","Professor William Webb","Ice Pick"]
["eoep"]		[{"c1":"rogue","c2":"*"}]				8	14	["Ethereal Slip","Blur","Ethereal Slip","Blur","\"Hit me!\"","Unscrupulous Loan","Precious Memento","Precious Memento"]
["eoep"]		[{"c1":"mystic","c2":"*"},{"c1":"survivor","c2":"*"},{"c1":"*","c2":"*","c3":"*"}]				9	18	["Talisman of Protection","Earthly Serenity","Enchanted Bow","Earthly Serenity","Prophetic","Sleuth","Bruiser","Crafty","Antiquary"]
						1012	1948	[".45 Automatic","Physical Training","Beat Cop","First Aid","Machete","Guard Dog","Evidence!","Dodge","Dynamite Blast","Vicious Blow","Extra Ammunition","Police Badge","Beat Cop","Shotgun","Magnifying Glass","Old Book of Lore","Research Librarian","Dr. Milan Christopher","Hyperawareness","Medical Texts","Mind over Matter","Working a Hunch","Barricade","Deduction","Magnifying Glass","Disc of Itzamna","Encyclopedia","Cryptic Research","Switchblade","Burglary","Pickpocketing",".41 Derringer","Leo De Luca","Hard Knocks","Elusive","Backstab","Sneak Attack","Opportunist","Leo De Luca","Cat Burglar","Sure Gamble","Hot Streak","Forbidden Knowledge","Holy Rosary","Shrivelling","Scrying","Arcane Studies","Arcane Initiate","Drawn to the Flame","Ward of Protection","Blinding Light","Fearless","Mind Wipe","Blinding Light","Book of Shadows","Grotesque Statue","Leather Coat","Scavenging","Baseball Bat","Rabbit's Foot","Stray Cat","Dig Deep","Cunning Distraction","\"Look what I found!\"","Lucky!","Survival Instinct","Aquinnah","Close Call","Lucky!","Will to Survive","Knife","Flashlight","Emergency Cache","Guts","Perception","Overpower","Manual Dexterity","Unexpected Courage","Bulletproof Vest","Elder Sign Amulet",".45 Automatic","Physical Training","Beat Cop","First Aid","Machete","Guard Dog","Evidence!","Dodge","Dynamite Blast","Vicious Blow","Extra Ammunition","Police Badge","Beat Cop","Shotgun","Magnifying Glass","Old Book of Lore","Research Librarian","Dr. Milan Christopher","Hyperawareness","Medical Texts","Mind over Matter","Working a Hunch","Barricade","Deduction","Magnifying Glass","Disc of Itzamna","Encyclopedia","Cryptic Research","Switchblade","Burglary","Pickpocketing",".41 Derringer","Leo De Luca","Hard Knocks","Elusive","Backstab","Sneak Attack","Opportunist","Leo De Luca","Cat Burglar","Sure Gamble","Hot Streak","Forbidden Knowledge","Holy Rosary","Shrivelling","Scrying","Arcane Studies","Arcane Initiate","Drawn to the Flame","Ward of Protection","Blinding Light","Fearless","Mind Wipe","Blinding Light","Book of Shadows","Grotesque Statue","Leather Coat","Scavenging","Baseball Bat","Rabbit's Foot","Stray Cat","Dig Deep","Cunning Distraction","\"Look what I found!\"","Lucky!","Survival Instinct","Aquinnah","Close Call","Lucky!","Will to Survive","Knife","Flashlight","Emergency Cache","Guts","Perception","Overpower","Manual Dexterity","Unexpected Courage","Bulletproof Vest","Elder Sign Amulet","Mob Enforcer","Silver Twilight Acolyte","Stubborn Detective","First Aid","\"I've had worse…\"","Seeking Answers","Old Book of Lore","Lockpicks",".41 Derringer","Rite of Seeking","Scrying","Aquinnah","Eucatastrophe","Emergency Cache","Charisma","Relic Hunter","Blackjack","Taunt","Teamwork","Taunt","Laboratory Assistant","Strange Solution","Shortcut","Seeking Answers","Liquid Courage","Think on Your Feet","Double or Nothing","Hired Muscle","Rite of Seeking","Ritual Candles","Clarity of Mind","Bind Monster","Fire Axe","Peter Sylvestre","Bait and Switch","Peter Sylvestre","Kukri","Emergency Aid","Brother Xavier","\"I've got a plan!\"","Pathfinder","Contraband","Adaptable","Delve Too Deep","Song of the Dead","Oops!","Fire Extinguisher","Flare","Smoking Pipe","Painkillers","Bandolier","Stand Together","Art Student","Deduction","\"I'm outta here!\"","Switchblade","Hypnotic Gaze","Shrivelling","Newspaper","Lure","Relic Hunter","Charisma","Prepared for the Worst","Keen Eye","Preposterous Sketches","Higher Education","Lone Wolf","Streetwise","Defiance","Blood Pact","Rise to the Occasion","Scrapper","Emergency Cache","\"If it bleeds...\"","Springfield M1903","Inquiring Mind","Expose Weakness","Quick Thinking","Lucky Dice","Opportunist","Alyssa Graham","Rite of Seeking","Dark Horse","Survival Instinct","Leadership","\"I've had worse…\"","Strange Solution","Strange Solution","Strange Solution","Joey \"The Rat\" Vigil","Ace in the Hole","Moonlight Ritual","Fearless","Jewel of Aureolus","A Chance Encounter","Stroke of Luck","Fine Clothes","Moment of Respite","Vicious Blow","Monster Slayer","Lightning Gun","Dr. William T. Maleson","Deciphered Reality","Chicago Typewriter","The Gold Pocket Watch","Shrivelling","Ward of Protection","Aquinnah","Try and Try Again","The Red-Gloved Man","Sophie",".32 Colt","True Grit","\"Let me handle this!\"","Ever Vigilant","Fieldwork","Archaic Glyphs","No Stone Unturned","In the Know","Stealth","Sleight of Hand","Daring Maneuver","Lockpicks","Alchemical Transmutation","Uncage the Soul","Astral Travel","Spirit Athame","Lantern","Gravedigger's Shovel","Hiding Spot","Resourceful","L'agneau Perdu","The Pattern","The First Show","Above and Below","Heroic Rescue","Combat Training","Anatomical Diagrams","Scientific Theory","Knuckleduster","Moxie","David Renfield","Grounded","Cherished Keepsake","Plucky","Say Your Prayers","Desperate Search","Reckless Assault","Run For Your Life","Trench Knife","Ambush","Charles Ross, Esq.","Forewarned","Dario El-Amin","Sneak Attack","Storm of Spirits","Book of Shadows","Fight or Flight","A Test of Will","Devil's Luck","Calling in Favors","\"I'll see you in hell!\"",".45 Automatic","Logical Reasoning","Archaic Glyphs","Archaic Glyphs","Cheap Shot","Pickpocketing","Quantum Flux","Recharge","Madame Labranche","Snare Trap","Inspiring Presence","Mano a Mano","First Aid","Eureka!","Shortcut","\"Watch this!\"",".41 Derringer","Torrent of Power","Scrying","Waylay","A Chance Encounter","Emergency Cache","On the Hunt","Stick to the Plan","Guidance","Arcane Insight","Narrow Escape","Suggestion","St. Hubert's Key","Ward of Protection","Arcane Initiate","\"Not without a fight!\"","True Survivor","\"Eat lead!\"","Armor of Ardennes","Eidetic Memory","No Stone Unturned","Charon's Obol","Lupara","Cheat Death","Time Warp","Seal of the Elder Sign","Newspaper","Infighting","Key of Ys","Survival Knife","Venturer","Trusted","Reliable","Dr. Elli Horowitz","Ancient Stone","Tooth of Eztli","Unearth the Ancients","Treasure Hunter","Decorated Skull","Eavesdrop","\"You handle this one!\"","Mists of R'lyeh","The Chthonian Stone","Protective Incantation","Dark Prophecy","Improvised Weapon","Dumb Luck","Yaotl","Last Chance","Backpack","The Price of Failure","Accursed Fate","The Bell Tolls","Scene of the Crime","Marksmanship","Persuasion","Shrewd Analysis","Lucky Cigarette Case","Fence","Arcane Research","Counterspell","Perseverance","Stunning Blow","Second Wind","Take the Initiative","Well Prepared","Truth from Fiction","True Understanding","Quick Study","Hatchet Man","High Roller","Enraptured","Recall the Future","Try and Try Again","Cornered","Intrepid","Custom Ammunition","Otherworldly Compass","Expose Weakness","Lola Santiago","Olive McBride","Defiance","Premonition","Live and Learn","Take Heart","Against All Odds","Trench Coat","Ornate Bow","M1918 BAR","Ancient Stone","Ancient Stone","Slip Away","Pay Day","Sacrifice","Crystalline Elder Sign","On Your Own","Handcuffs","Blood Eclipse","Feed the Mind","Colt Vest Pocket","Coup de Grâce","The Skeleton Key","Mists of R'lyeh","Winging It","Old Hunting Rifle","Thermos","Hemispheric Map","Timeworn Brand","Kerosene","Flamethrower","Vantage Point","Pnakotic Manuscripts","Borrowed Time","All In","Shards of the Void","Seal of the Seventh Sign","Impromptu Barrier","Alter Fate","Interrogate","Delay the Inevitable","Steadfast","Ace of Swords","Fingerprint Kit","Connect the Dots","Curiosity","Death • XIII","Well Connected","Money Talks","Cunning","The Moon • XVIII","Deny Existence","Eldritch Inspiration","Prophesy","Four of Cups","Track Shoes","Act of Desperation","Able Bodied","Five of Pentacles","Ace of Rods","Something Worth Fighting For","Crack the Case","Intel Report","Sign Magick","Banish","Meat Cleaver",".45 Thompson","Scroll of Secrets","Tennessee Sour Mash","Enchanted Blade","Grisly Totem","Alice Luxley","Well-Maintained","Mr. \"Rook\"","Hawk-Eye Folding Camera","Henry Wan","Swift Reflexes","Wither","Sixth Sense","Drawing Thin","Belly of the Beast",".45 Thompson",".45 Thompson","Scroll of Secrets","Scroll of Secrets","Tennessee Sour Mash","Tennessee Sour Mash","Enchanted Blade","Enchanted Blade","Grisly Totem","Grisly Totem","The Council's Coffer","Warning Shot","Telescopic Sight","Knowledge is Power","Esoteric Atlas","Investments","Decoy","De Vermis Mysteriis","Guiding Spirit","Fortune or Fate","Mk 1 Grenades","Agency Backup","Ghastly Revelation","Studious","Small Favor","Another Day, Another Dollar","Dayana Esperence","Deny Existence","Trial by Fire","Bait and Switch","Anna Kaslow","Hallowed Mirror","\"I've had worse…\"","Occult Lexicon","Glimpse the Unthinkable","\"You owe me one!\"","Double, Double","Wither","Sixth Sense","Lure","Eucatastrophe","The Hungering Blade","Solemn Vow","Segment of Onyx","Astounding Revelation","Crystallizer of Dreams","Easy Mark","Stargazing","Open Gate","Miss Doyle","Fortuitous Discovery","First Watch","Daring","Dream Diary","Followed","Momentum","Scroll of Prophecies","Read the Signs","Jessica Hyde","Tetsuo Mori","\"Fool me once...\"","Self-Sacrifice","Otherworld Codex","Dream-Enhancing Serum","\"Let God sort them out...\"","Swift Reload","Gregory Gry","Healing Words","Ethereal Form","Scrounge for Supplies","Brute Force","Versatile",".35 Winchester","Safeguard","Practice Makes Perfect","Extensive Research","Three Aces","Burglary","Spectral Razor","Word of Command","Moonstone","Sharp Vision","Lucid Dreaming","Heroic Rescue","Leadership","Dream Diary","Dream Diary","Dream Diary","Haste","Daredevil","Empower Self","Empower Self","Empower Self","Twila Katherine Price","A Glimmer of Hope","Expeditious Retreat","Empty Vessel","Surprising Find","Old Book of Lore","Garrote Wire","Delilah O'Rourke","Summoned Hound","Nothing Left to Lose","The Black Cat","Spiritual Resolve","Abigail Foreman","The Eye of Truth","Joey \"The Rat\" Vigil","Sawed-Off Shotgun","Mind's Eye","Shining Trapezohedron","Nightmare Bauble","Scavenging","Book of Psalms","Blessed Blade","Rite of Sanctification","Hand of Fate","Cryptographic Cipher","Cryptic Grimoire","Deep Knowledge","Plan of Action",".25 Automatic","Dark Ritual","Obfuscation","Faustian Bargain","Sword Cane","Tides of Fate","Ward of Radiance","Promise of Power","Token of Faith","Keep Faith","Predestined","Beloved","Tempt Fate","Riot Whistle","Righteous Hunt","Sacred Covenant","Eldritch Sophist","Stirring Up Trouble","Blasphemous Covenant","Breaking and Entering","Skeptic","False Covenant","Armageddon","Eye of Chaos","Shroud of Shadows","Paradoxical Covenant","Mariner's Compass","Ancient Covenant","Keen Eye","Radiant Smite","The Truth Beckons","Gaze of Ouraxsh","Priest of Two Faiths","Under Surveillance","Blood Pact","Abyssal Tome","Butterfly Effect","Third Time's a Charm","Manipulate Destiny","Enchanted Armor","Blessing of Isis","Cryptic Grimoire","Cryptic Grimoire","Ríastrad","Tristan Botley","Curse of Aeons","Unrelenting","Signum Crucis","Holy Rosary","Shield of Faith","Fey","Guided by the Unseen","\"Lucky\" Penny","Eye of the Djinn","Armageddon","Eye of Chaos","Shroud of Shadows","Spirit of Humanity","Harmony Restored","Enchant Weapon","Nephthys","The Stygian Eye","Hyperawareness","Geas","Hard Knocks","Ikiaq","Flute of the Outer Gods","A Watchful Peace","Dig Deep","Favor of the Moon","Favor of the Sun","Purifying Corruption","Hallow","Holy Spear","Ancestral Knowledge","Ariadne's Twine",".25 Automatic","Justify the Means","Lucky Dice","Rite of Equilibrium","Jacob Morrison","Shrine of the Moirai","Discipline","Discipline","Discipline","Discipline","Geared Up","Toe to Toe","\"Get behind me!\"","Gang Up","Sweeping Kick","Defensive Stance","Butterfly Swords","Dodge","Combat Training","On the Hunt","Fang of Tyr'thrha","Butterfly Swords","Forced Learning","Jeremiah Kirby","Archive of Conduits","Written in the Stars","Hiking Boots","Join the Caravan","Survey the Area","Medical Texts","Unearth the Ancients","Scientific Theory","Archive of Conduits","Archive of Conduits","Archive of Conduits","Archive of Conduits","Prophesiae Profana","Underworld Support","Scout Ahead","21 or Bust","Counterespionage","Cheat the System","Untimely Transaction","Savant","The Red Clock","Money Talks","Black Market","Moxie","The Black Fan","The Red Clock","Down the Rabbit Hole","Dragon Pole","Meditative Trance","Close the Circle","Winds of Power","Foresight","Occult Theory","Parallel Fates","Astronomical Atlas","Healing Words","Grounded","True Magick","Short Supply","Schoffner's Catalogue","Bandages","Jury-Rig","Bangle of Jinxes","Burn After Reading","Strength in Numbers","Dauntless Spirit","Blood Will Have Blood","Fire Extinguisher","Plucky","Fend Off","Medical Student","On the Trail","On the Trail","Michael Leigh","Snipe","Old Shotgun","Quickdraw Holster","Brand of Cthugha","Nkosi Mabati","Brand of Cthugha","Cyclopean Hammer","Sledgehammer","Protective Gear","Sledgehammer","Pocket Telescope","Eon Chart","Gené Beauregard","Eon Chart","Divination","Protecting the Anirniq","Divination","Professor William Webb","Ice Pick","Professor William Webb","Ice Pick","Ethereal Slip","Blur","Ethereal Slip","Blur","\"Hit me!\"","Unscrupulous Loan","Precious Memento","Precious Memento","Talisman of Protection","Earthly Serenity","Enchanted Bow","Earthly Serenity","Prophetic","Sleuth","Bruiser","Crafty","Antiquary","In the Thick of It","Heavy Furs","Sled Dog","Rod of Animalism","Call for Backup","Physical Training","Dynamite Blast","Hyperawareness","Barricade","Hard Knocks","Hot Streak","Arcane Studies","Mind Wipe","Dig Deep","Rabbit's Foot","Bandolier","Blackjack","Preposterous Sketches","Strange Solution","Contraband","Think on Your Feet","Rite of Seeking","Clarity of Mind","Oops!","Rise to the Occasion",".32 Colt","\"Eat lead!\"","Logical Reasoning","Archaic Glyphs","Stealth","Suggestion","Alchemical Transmutation","Storm of Spirits","Lantern","Gravedigger's Shovel","Blood Eclipse","Survival Knife","Truth from Fiction","Ancient Stone","Decorated Skull","Colt Vest Pocket","Mists of R'lyeh","The Chthonian Stone","Alter Fate","On Your Own","Backpack","Fine Print","Sell Your Soul","The Star • XVII","Hallowed Mirror","The World • XXI","Occult Lexicon","Knight of Swords","Well Connected","The Hierophant • V","Sign Magick","Nine of Rods","Trial by Fire","The Fool • 0","Moon Pendant","Observed","Boxing Gloves","Flesh Ward","Grete Wagner","Physical Training","Relentless","Safeguard","Clean Them Out","Counterpunch","Dodge","\"Get over here!\"","Glory","Monster Slayer","One-Two Punch","Stand Together","Vicious Blow","Evidence!","Galvanize","Counterpunch","\"Get over here!\"","Lesson Learned","Mano a Mano","Overpower","Boxing Gloves","Grete Wagner","Dynamite Blast","Taunt","Physical Training","One-Two Punch","Arcane Enlightenment","Celaeno Fragments","Disc of Itzamna","Encyclopedia","Feed the Mind","Forbidden Tome","Higher Education","Laboratory Assistant","Whitton Greene","Burning the Midnight Oil","Cryptic Writings","Extensive Research","Occult Invocation","Preposterous Sketches","Deduction","Library Docent","Glimpse the Unthinkable","Esoteric Atlas","Whitton Greene","Cryptic Writings","\"I've got a plan!\"","Mind over Matter","Seeking Answers","Perception","Forbidden Tome","Forbidden Tome","Farsight","Miskatonic Archaeology Funding","The Necronomicon","Lockpicks","Mauser C96","Switchblade","Lucky Cigarette Case","Lonnie Ritter","Leather Jacket","Streetwise","Cheap Shot","Daring Maneuver","Slip Away","Pilfer","Sneak By","Nimble","Daredevil","Opportunist","Liquid Courage","Mauser C96","Daring Maneuver","Cheap Shot","Slip Away","Manual Dexterity","Lucky Cigarette Case","Sharpshooter","Pilfer","Backstab","Copycat","Beretta M1918","Chuck Fergus","Ritual Candles","Scrying Mirror","Azure Flame","Clairvoyance","Ineffable Truth","Familiar Spirit","Crystal Pendulum","Robes of Endless Night","Astral Travel","Hypnotic Gaze","Parallel Fates","Voice of Ra","Dark Prophecy","Defiance","Prescient","Eldritch Inspiration","Grotesque Statue","Robes of Endless Night","Hypnotic Gaze","Guts","Azure Flame","Clairvoyance","Ineffable Truth","Arcane Studies","Recharge","Azure Flame","Clairvoyance","Ineffable Truth",".18 Derringer","Grimm's Fairy Tales","Old Keyring","Granny Orne","Mysterious Raven","Rabbit's Foot","Scrapper","Will to Survive","A Test of Will","Dumb Luck","Grit Your Teeth","Live and Learn","\"Look what I found!\"","Oops!","Take Heart","Cherished Keepsake","Leather Coat",".18 Derringer","A Test of Will","\"Look what I found!\"","Dumb Luck","Unexpected Courage","Granny Orne","Lucky!","Chainsaw","Quick Learner","Déjà Vu"]
